stop_from,stop_to,average_travel_time
332_01,331_02,0.0
332_01,330_02,1.0
332_01,329_02,1.58
332_01,328_02,2.17
332_01,326_02,4.21
332_01,325_02,5.64
332_01,324_02,6.69
332_01,323_02,7.64
332_01,322_02,8.69
332_01,321_02,10.78
332_01,320_02,11.18
332_01,319_02,12.56
332_01,318_02,13.2
332_01,317_02,15.09
332_01,316_02,15.98
332_01,315_02,16.55
332_01,314_02,19.05
332_01,313_02,20.18
332_01,312_02,21.73
332_01,311_02,23.43
332_01,310_02,24.45
332_01,309_02,25.64
332_01,308_02,27.59
332_01,307_02,28.6
332_01,306_02,29.49
332_01,305_02,30.91
332_01,304_02,30.91
332_01,303_02,31.18
332_01,301_09,32.94
332_01,103_08,34.36
332_01,102_08,35.36
332_01,101_11,41.64
331_02,330_02,1.0
331_02,329_02,1.47
331_02,328_02,2.2
331_02,326_02,4.25
331_02,325_02,5.71
331_02,324_02,6.73
331_02,323_02,7.71
331_02,322_02,8.78
331_02,321_02,10.92
331_02,320_02,11.25
331_02,319_02,12.61
331_02,318_02,13.27
331_02,317_02,15.22
331_02,316_02,16.09
331_02,315_02,16.76
331_02,314_02,19.26
331_02,313_02,20.36
331_02,312_02,21.84
331_02,311_02,23.59
331_02,310_02,24.6
331_02,309_02,25.78
331_02,308_02,27.97
331_02,307_02,28.68
331_02,306_02,29.51
331_02,305_02,30.9
331_02,304_02,30.92
331_02,303_02,31.17
331_02,301_09,33.15
331_02,103_08,34.34
331_02,102_08,35.64
331_02,101_11,42.0
330_02,329_02,0.45
330_02,328_02,1.22
330_02,326_02,3.23
330_02,325_02,4.79
330_02,324_02,5.81
330_02,323_02,6.78
330_02,322_02,7.84
330_02,321_02,9.9
330_02,320_02,10.22
330_02,319_02,11.51
330_02,318_02,12.21
330_02,317_02,14.18
330_02,316_02,15.06
330_02,315_02,15.76
330_02,314_02,18.18
330_02,313_02,19.28
330_02,312_02,20.68
330_02,311_02,22.49
330_02,310_02,23.47
330_02,309_02,24.64
330_02,308_02,26.78
330_02,307_02,27.4
330_02,306_02,28.27
330_02,305_02,29.6
330_02,304_02,29.64
330_02,303_02,29.86
330_02,301_09,31.85
330_02,103_08,33.0
330_02,102_08,34.38
330_02,101_11,40.64
329_02,328_02,0.77
329_02,326_02,2.78
329_02,325_02,4.34
329_02,324_02,5.36
329_02,323_02,6.33
329_02,322_02,7.38
329_02,321_02,9.45
329_02,320_02,9.77
329_02,319_02,11.05
329_02,318_02,11.75
329_02,317_02,13.73
329_02,316_02,14.61
329_02,315_02,15.32
329_02,314_02,17.74
329_02,313_02,18.83
329_02,312_02,20.24
329_02,311_02,22.04
329_02,310_02,23.03
329_02,309_02,24.19
329_02,308_02,26.33
329_02,307_02,26.95
329_02,306_02,27.82
329_02,305_02,29.15
329_02,304_02,29.19
329_02,303_02,29.41
329_02,301_09,31.4
329_02,103_08,32.55
329_02,102_08,33.93
329_02,101_11,40.19
328_02,326_02,2.01
328_02,325_02,3.56
328_02,324_02,4.59
328_02,323_02,5.55
328_02,322_02,6.62
328_02,321_02,8.68
328_02,320_02,9.0
328_02,319_02,10.29
328_02,318_02,10.99
328_02,317_02,12.96
328_02,316_02,13.83
328_02,315_02,14.54
328_02,314_02,16.96
328_02,313_02,18.06
328_02,312_02,19.46
328_02,311_02,21.26
328_02,310_02,22.25
328_02,309_02,23.42
328_02,308_02,25.38
328_02,307_02,26.18
328_02,306_02,27.05
328_02,305_02,28.38
328_02,304_02,28.42
328_02,303_02,28.64
328_02,301_09,30.48
328_02,103_08,31.78
328_02,102_08,33.0
328_02,101_11,39.33
326_02,325_02,1.53
326_02,324_02,2.56
326_02,323_02,3.53
326_02,322_02,4.59
326_02,321_02,6.65
326_02,320_02,6.97
326_02,319_02,8.26
326_02,318_02,8.96
326_02,317_02,10.92
326_02,316_02,11.89
326_02,315_02,12.6
326_02,314_02,15.0
326_02,313_02,16.1
326_02,312_02,17.49
326_02,311_02,19.29
326_02,310_02,20.27
326_02,309_02,21.44
326_02,308_02,23.39
326_02,307_02,24.2
326_02,306_02,25.08
326_02,305_02,26.41
326_02,304_02,26.46
326_02,303_02,26.68
326_02,301_09,28.47
326_02,103_08,29.77
326_02,102_08,30.99
326_02,101_11,37.32
325_02,324_02,1.01
325_02,323_02,1.99
325_02,322_02,3.04
325_02,321_02,5.11
325_02,320_02,5.43
325_02,319_02,6.71
325_02,318_02,7.4
325_02,317_02,9.36
325_02,316_02,10.34
325_02,315_02,11.05
325_02,314_02,13.46
325_02,313_02,14.55
325_02,312_02,15.95
325_02,311_02,17.73
325_02,310_02,18.72
325_02,309_02,19.88
325_02,308_02,21.84
325_02,307_02,22.64
325_02,306_02,23.52
325_02,305_02,24.84
325_02,304_02,24.89
325_02,303_02,25.11
325_02,301_09,26.92
325_02,103_08,28.19
325_02,102_08,29.44
325_02,101_11,35.76
324_02,323_02,0.97
324_02,322_02,2.03
324_02,321_02,4.09
324_02,320_02,4.41
324_02,319_02,5.69
324_02,318_02,6.39
324_02,317_02,8.35
324_02,316_02,9.32
324_02,315_02,10.04
324_02,314_02,12.45
324_02,313_02,13.54
324_02,312_02,14.93
