ノード番号,緯度,経度,3次メッシュID
0,36.6012678,137.1018802,54377028
1,36.5782091,137.1333453,54376190
2,36.7201596,137.309261,5537264
3,36.7200898,137.2645014,5537261
4,36.6014963,137.1327589,54377120
5,36.7202863,137.2635632,5537261
6,36.660345,137.2760541,54377292
7,36.6015904,137.1020291,54377028
8,36.720394,137.2777492,5537262
9,36.6613649,137.2755931,54377292
10,36.6615437,137.2680421,54377291
11,36.6619188,137.2670157,54377291
12,36.663316,137.2687415,54377291
13,36.6633538,137.2685169,54377291
14,36.6633843,137.2690427,54377291
15,36.6634506,137.2691723,54377291
16,36.6017329,137.1327038,54377120
17,36.663566,137.2696008,54377291
18,36.6636596,137.2690667,54377291
19,36.6637478,137.2701555,54377291
20,36.6637456,137.2696641,54377291
21,36.6649265,137.2674024,54377291
22,36.6648759,137.2731205,54377291
23,36.6649252,137.2678157,54377291
24,36.6648966,137.2677418,54377291
25,36.7204574,137.3141771,5537265
26,36.6649711,137.2678732,54377291
27,36.720705,137.2779093,5537262
28,36.6648844,137.2676504,54377291
29,36.6648943,137.267566,54377291
30,36.6650409,137.2673294,54377291
31,36.664915,137.2689425,54377291
32,36.6650374,137.2679313,54377291
33,36.6651478,137.2680627,54377291
34,36.6649314,137.2674826,54377291
35,36.6649916,137.2679646,54377291
36,36.6650348,137.2673922,54377291
37,36.6652598,137.2683161,54377291
38,36.6650785,137.2691273,54377291
39,36.6652237,137.2613412,54377290
40,36.6651852,137.2688571,54377291
41,36.7208952,137.2975756,5537263
42,36.6651684,137.267322,54377291
43,36.6651046,137.2673799,54377291
44,36.6652769,137.2683975,54377291
45,36.6652854,137.2686025,54377291
46,36.6652738,137.2673756,54377291
47,36.6652229,137.2688849,54377291
48,36.6652349,137.2674195,54377291
49,36.6653452,137.2610978,54377290
50,36.6652724,137.2687061,54377291
51,36.6652519,137.2687951,54377291
52,36.6653317,137.2676132,54377291
53,36.6653534,137.2675021,54377291
54,36.6653857,137.2676022,54377291
55,36.6655556,137.2690113,54377291
56,36.6655864,137.2604666,54377290
57,36.6656252,137.268562,54377291
58,36.6660222,137.2592278,54377290
59,36.6662625,137.258584,54377290
60,36.6669087,137.2573223,553720
61,36.6670533,137.2571747,553720
62,36.6671491,137.2570313,553720
63,36.6675736,137.27614,553722
64,36.66771,137.2560585,553720
65,36.6685425,137.2700188,553721
