出発地のノード番号,到着側のノード番号,ウェイの距離[m]
6075,6223,78.71
6223,6224,434.98
6399,115,80.34
115,112,79.74
112,6329,545.01
3733,12150,68.15
12150,2763,119.49
2763,1672,13.73
1672,1407,12.54
1407,1679,120.57
1679,1121,16.62
1121,1674,11.75
1674,20665,66.03
20665,1683,54.31
1683,1112,16.41
1112,1681,10.32
1681,23271,120.23
23271,23289,15.08
23289,20679,52.4
20679,20682,53.94
20682,20408,63.64
20408,1659,17.09
1659,20694,141.14
20694,5709,110.48
5709,3369,18.09
3369,1122,254.15
10176,20928,14.19
20928,16244,5.09
16244,6501,85.81
6501,21800,16.2
21800,6849,81.63
6849,20924,25.52
20924,16255,32.18
16255,8000,15.43
8000,16257,18.46
16257,8001,10.29
8001,20917,28.09
20917,20977,36.25
20977,27411,15.54
1813,18570,7.43
24471,4117,27.48
4117,1367,19.02
1367,20915,64.84
20915,6363,49.18
6363,1366,39.17
1366,10135,11.03
10135,9256,6.45
9256,7889,24.28
7889,7890,21.92
7890,1364,86.72
1364,5240,7.18
5240,1362,3.94
1362,10125,5.0
10125,6392,10.09
6392,10128,53.92
5416,1354,13.38
1354,20899,91.02
20899,5426,7.51
5426,20902,20.98
20902,1358,76.69
1358,5427,102.8
25357,25358,3.73
25358,6080,35.63
6080,4879,58.84
4879,25361,45.78
25361,25362,16.46
25362,25363,80.61
25363,6081,12.25
6081,25366,78.74
25366,6082,27.65
6082,25367,21.59
25367,5422,43.35
5422,5420,9.08
5420,6084,8.81
6084,25368,50.17
25368,9382,48.07
9382,6086,17.31
6086,9383,15.21
9383,6087,66.61
6087,25371,20.77
25371,6089,19.09
6089,6091,48.84
6091,23550,57.68
23550,6093,9.87
6093,23551,11.57
23551,6094,54.38
6094,6095,60.02
6095,6096,49.88
6096,23572,9.4
23572,25393,18.73
25393,23574,20.7
23574,12698,69.84
12698,12699,24.02
12699,12700,78.59
12700,25421,20.58
25421,23885,7.66
23885,12701,29.1
12701,20355,41.4
20355,12702,9.7
12702,20352,103.47
20352,10101,1.23
12193,12195,27.85
12195,12196,47.33
12196,12197,51.62
12197,12198,35.03
12198,12199,48.66
12199,12201,48.68
12201,12203,41.74
12203,15649,24.03
15649,12204,26.15
12204,122,22.45
122,12205,14.9
12205,124,16.86
124,12206,13.91
12206,471,24.0
471,15651,31.6
15651,12207,42.82
12207,19657,72.56
19657,12212,102.48
12212,12213,80.32
12213,12214,20.11
12214,12220,23.67
12220,15648,12.62
15648,12221,9.57
12221,12215,17.79
12215,12216,24.78
12216,12222,51.04
12222,12219,165.55
12219,10117,6.43
27488,10400,8.0
10400,20858,65.25
20858,20855,22.97
20855,27490,52.21
27490,3175,10.94
25187,20401,12.8
20401,7168,17.67
7168,18774,13.92
18774,17209,83.86
17209,18688,11.65
18688,17206,9.09
17206,18665,61.8
18665,21471,49.86
21471,25461,12.12
25461,21466,3.46
21466,21467,3.28
21467,27492,3.79
27492,21465,13.79
21465,27493,43.78
27493,11334,24.77
11334,27494,24.76
27494,27495,31.29
27495,25451,22.33
17696,17697,12.9
17788,3287,8.53
3287,17789,11.56
17789,17791,56.57
17791,17793,66.86
17793,2055,160.0
2055,17797,17.29
14644,17808,9.75
17808,22060,14.53
22060,20232,19.52
20232,17842,75.91
17842,9446,10.15
9446,4704,6.4
1814,8072,5.13
8072,21551,7.64
21551,1657,1.48
1657,21553,186.3
21553,8423,4.9
8423,1812,12.95
1812,21555,7.59
21555,21556,74.86
21556,6358,7.3
6358,8935,12.52
17808,9501,17.8
9501,20233,64.69
20233,6361,38.74
6361,22377,61.22
22377,6364,51.81
6364,26682,73.21
26682,22374,10.65
22374,26680,13.45
26680,22370,92.56
22370,6365,63.31
6365,13954,178.46
13954,14664,23.24
14664,26678,35.07
26678,6370,6.76
6370,6371,50.05
6371,6372,66.55
6372,6373,21.0
6373,6374,15.69
6374,10504,1.21
10504,11113,13.23
11113,24828,7.69
24828,24826,4.19
24826,11129,9.21
1136,98,89.76
98,8463,9.23
8463,8467,7.54
8467,97,7.41
97,96,6.34
96,8468,6.22
8468,95,6.63
95,8469,6.6
8469,94,7.35
94,8470,7.02
8470,93,6.74
93,8685,6.25
8685,8471,6.62
8471,92,7.57
92,8687,9.25
8687,8472,8.61
8472,91,8.61
91,8694,8.92
8694,8479,9.92
8479,90,11.12
90,8699,11.29
8699,8481,26.03
8482,20114,66.88
20114,20115,20.45
20115,79,18.86
79,20117,19.61
20117,20119,28.56
20119,20120,25.24
1294,1304,78.87
1304,1303,45.63
1303,1302,33.79
1302,1301,38.56
1301,1300,29.13
1300,1299,75.14
556,15536,17.73
15536,6777,10.39
6777,6780,30.6
6780,15535,36.49
15535,6782,57.07
6782,11070,21.96
11070,558,18.98
558,3661,22.76
3661,3662,3.41
3662,559,58.82
559,6784,45.4
6784,560,32.12
560,6785,21.79
6785,6786,22.71
6786,3692,63.22
3692,562,66.94
562,4344,42.68
4344,4345,44.52
4345,519,47.56
519,520,94.53
520,3793,71.95
3793,3799,60.56
3799,543,67.8
543,8556,9.73
8556,3853,55.47
3853,545,107.53
545,20254,31.87
20254,3870,12.55
3870,3883,17.57
3883,4351,38.54
4351,547,25.21
547,548,81.9
548,4356,49.84
4356,549,52.84
549,3893,10.39
3893,550,22.19
550,4357,19.28
4357,551,41.41
551,4355,37.67
4355,4354,22.94
4354,26261,38.18
26261,535,94.98
535,4348,42.23
4348,4347,33.18
4347,8549,11.78
8549,536,17.56
536,4346,39.83
4346,537,28.48
537,4349,36.91
4349,538,141.48
538,4350,64.72
4350,4353,83.49
4353,4571,93.24
4571,4358,57.37
4358,4359,82.62
4359,4362,55.43
4362,540,29.58
540,4364,22.92
4364,4365,22.34
4365,541,19.93
541,4363,28.25
4363,18883,19.23
18883,542,52.62
542,23665,43.25
1827,510,9.81
510,14538,159.69
14538,511,48.52
511,5668,47.27
5668,14556,9.55
14556,512,36.74
512,22307,83.87
8602,24623,15.49
24623,8630,103.11
23027,3558,2.31
3558,5372,54.91
5372,4617,147.32
4617,23017,12.06
23017,4263,6.86
4263,4641,103.66
4641,11312,12.24
11312,4640,12.73
4640,11313,15.01
11313,11314,36.2
11314,11315,45.81
11315,11316,53.72
11316,4259,33.34
4259,11317,10.03
11317,4257,14.9
4257,11320,41.7
11320,5371,38.69
5371,11323,51.99
11323,11324,70.46
11324,11326,83.65
11326,11327,78.68
11327,4255,12.8
4255,22977,16.7
22977,4251,18.85
4251,11328,24.56
11328,11329,57.18
11329,11331,42.69
11331,4248,22.38
4248,11310,12.6
11310,4245,13.09
4245,11332,38.21
11332,11333,62.66
11333,20244,18.98
20244,22973,12.75
22973,11335,61.63
11335,22970,53.74
22970,10886,41.04
10886,11336,17.61
11336,10884,15.05
10884,11337,62.64
11337,11338,74.57
11338,11339,91.56
11339,10881,35.9
10881,22963,8.86
22963,11340,21.8
11340,10879,144.52
10879,11341,10.88
11341,10877,9.31
10877,11342,22.11
11342,5711,17.85
5711,11344,113.5
11344,10873,35.47
10873,1782,11.71
19316,10404,11.82
10404,9612,10.84
9612,4832,35.87
4832,22022,15.01
22022,22021,45.7
22021,3001,9.94
3001,22020,42.4
22020,3000,1.11
3000,22019,5.09
22019,5903,43.94
5903,10566,19.99
10566,4831,6.36
4831,8403,6.94
8403,10568,5.93
10568,2995,82.59
2995,5900,19.25
5900,15341,45.49
15341,4833,13.34
4833,15332,94.29
15332,3752,45.59
3752,4219,5.54
4219,4834,5.31
4834,2990,90.82
2990,15288,65.22
15288,3758,53.6
3758,15265,5.03
15265,5174,5.88
5174,4835,24.8
4835,3761,15.79
3761,3764,29.88
3764,5162,26.7
5162,15232,5.5
