ノード番号,緯度,経度,3次メッシュID
0,36.7204877,137.3047311,5537264
1,36.7205369,137.3052078,5537264
2,36.7205608,137.3068976,5537264
3,36.7205888,137.3058219,5537264
4,36.7205494,137.306974,5537264
5,36.720533,137.307096,5537264
6,36.720577,137.307258,5537264
7,36.720655,137.307366,5537264
8,36.720786,137.307483,5537264
9,36.720886,137.307535,5537264
10,36.721033,137.307579,5537264
11,36.721301,137.307635,5537264
12,36.721488,137.307666,5537264
13,36.721675,137.307661,5537264
14,36.6029501,137.1364993,54377120
15,36.7221741,137.2923118,5537263
16,36.7178261,137.2816534,5537262
17,36.7177938,137.2809658,5537262
18,36.7178495,137.2809609,5537262
19,36.7178196,137.2809635,5537262
20,36.7179356,137.2792261,5537262
21,36.7179739,137.2786223,5537262
22,36.7180324,137.2778849,5537262
23,36.7180717,137.2774339,5537262
24,36.7107997,137.211974,5537156
25,36.7181329,137.2769021,5537262
26,36.7184596,137.2734838,5537261
27,36.7186308,137.2716916,5537261
28,36.7186754,137.2712804,5537261
29,36.7186861,137.2706385,5537261
30,36.7186627,137.2706318,5537261
31,36.7186053,137.2711093,5537261
32,36.7180577,137.2819822,5537262
33,36.7180415,137.2819231,5537262
34,36.7180753,137.280578,5537262
35,36.722621,137.307404,5537264
36,36.7181125,137.2793207,5537262
37,36.7181582,137.278639,5537262
38,36.7182156,137.2779519,5537262
39,36.7183156,137.2769307,5537262
40,36.7186374,137.2736676,5537261
41,36.7187573,137.2723728,5537261
42,36.7188498,137.2714165,5537261
43,36.7189338,137.2710173,5537261
44,36.7189689,137.2707414,5537261
45,36.7189987,137.2707441,5537261
46,36.7181775,137.2820336,5537262
47,36.7184029,137.2820455,5537262
48,36.7185102,137.2819991,5537262
49,36.7189806,137.271272,5537261
50,36.7027088,137.2593976,5537240
51,36.7027703,137.2603485,5537240
52,36.7028372,137.2612759,5537240
53,36.702861,137.2617741,5537240
54,36.7028724,137.2623653,5537240
55,36.702926,137.2636398,5537241
56,36.702953,137.2641348,5537241
57,36.7029445,137.2641846,5537241
58,36.702892,137.2642722,5537241
59,36.702923,137.2642328,5537241
60,36.7085734,137.174205,5537153
61,36.7089065,137.1742843,5537153
62,36.7088703,137.1742806,5537153
63,36.7081939,137.1738377,5537143
64,36.707931,137.1735882,5537143
65,36.7078905,137.173538,5537143
66,36.7077536,137.1733174,5537143
67,36.7076599,137.1731235,5537143
68,36.7075934,137.1729382,5537143
69,36.7075591,137.17279,5537143
70,36.7075322,137.1726122,5537143
71,36.7075211,137.1724853,5537143
72,36.7075205,137.1722111,5537143
73,36.7076145,137.1712285,5537143
74,36.7076712,137.1706666,5537143
75,36.7076788,137.1704057,5537143
76,36.7076807,137.1698796,5537143
77,36.7080843,137.1737337,5537143
78,36.7074466,137.1726607,5537143
79,36.7074258,137.1723407,5537143
80,36.7074431,137.1721404,5537143
81,36.7075254,137.1714877,5537143
82,36.7075634,137.1711531,5537143
83,36.7076075,137.1707359,5537143
84,36.7076144,137.1705779,5537143
85,36.7076191,137.1700272,5537143
86,36.722878,137.307267,5537264
87,36.7076128,137.1698715,5537143
88,36.7076019,137.1697307,5537143
89,36.7075473,137.1691496,5537143
90,36.7075036,137.1687436,5537143
91,36.7074906,137.168573,5537143
92,36.7074927,137.1681182,5537143
93,36.7075208,137.1675897,5537143
94,36.7075177,137.1672972,5537143
95,36.7074724,137.1670514,5537143
96,36.7074048,137.1668244,5537143
97,36.7072754,137.1665271,5537143
98,36.7069686,137.1657775,5537143
99,36.7068521,137.1652683,5537143
100,36.706901,137.1655362,5537143
101,36.7068188,137.1649957,5537143
102,36.7066597,137.1636236,5537143
103,36.7067425,137.1643519,5537143
104,36.7066219,137.1633573,5537143
105,36.7065379,137.1628038,5537143
106,36.7064399,137.1622324,5537142
107,36.7063752,137.161786,5537142
108,36.7062872,137.1612438,5537142
109,36.7062612,137.1610511,5537142
110,36.7230944,137.2997402,5537263
111,36.7062305,137.160734,5537142
112,36.7062043,137.1604529,5537142
113,36.7061846,137.1604433,5537142
114,36.7075489,137.168515,5537143
115,36.7075609,137.1679438,5537143
116,36.7075844,137.1674815,5537143
117,36.7075835,137.1673912,5537143
118,36.7075779,137.1673085,5537143
119,36.7075348,137.1669363,5537143
120,36.6031488,137.1377434,54377121
121,36.7074984,137.1668473,5537143
122,36.7074426,137.1667303,5537143
123,36.7071265,137.1659899,5537143
124,36.7070602,137.1658374,5537143
125,36.7069594,137.1654947,5537143
126,36.7068871,137.1649941,5537143
127,36.7067408,137.1636829,5537143
128,36.706658,137.1631301,5537143
129,36.7066812,137.1628648,5537143
130,36.706674,137.1628186,5537143
131,36.7066657,137.1627799,5537143
132,36.7065451,137.1624028,5537142
133,36.7063599,137.1613113,5537142
134,36.7063246,137.1610674,5537142
135,36.7063031,137.1608472,5537142
136,36.7062764,137.1604207,5537142
137,36.707675,137.1698261,5537143
138,36.7076096,137.1698297,5537143
139,36.7076384,137.1698281,5537143
140,36.7075265,137.1669174,5537143
141,36.7074426,137.1669513,5537143
142,36.7075093,137.1669244,5537143
143,36.7074792,137.1669365,5537143
144,36.7067464,137.1637657,5537143
145,36.7066748,137.163764,5537143
146,36.706713,137.1637617,5537143
147,36.7041098,137.2799113,5537242
148,36.7042278,137.2802853,5537242
149,36.7044906,137.281016,5537242
150,36.7045595,137.2812495,5537242
151,36.7040976,137.2796168,5537242
152,36.7218055,137.2640073,5537261
153,36.7205734,137.2633558,5537261
154,36.7218072,137.2641506,5537261
155,36.7243852,137.3001769,5537264
156,36.6035804,137.141145,54377121
157,36.7013544,137.2108589,5537146
158,36.6974493,137.194808,5537135
159,36.7265216,137.2735665,5537271
160,36.7268763,137.2728766,5537271
161,36.6989485,137.1824503,5537134
162,36.6989543,137.1822593,5537134
163,36.6989407,137.1821483,5537134
164,36.727145,137.2743132,5537271
165,36.6989077,137.1820253,5537134
166,36.6988086,137.1816406,5537134
167,36.6986656,137.1811127,5537134
168,36.6984997,137.1804973,5537134
169,36.6983588,137.1800636,5537134
170,36.6982147,137.1796179,5537134
171,36.6981525,137.1794104,5537134
172,36.6981291,137.1793805,5537134
173,36.6980797,137.1793712,5537134
174,36.6980217,137.1791889,5537134
175,36.6980307,137.1791471,5537134
176,36.6980398,137.1791219,5537134
177,36.6979047,137.1786716,5537134
178,36.6977224,137.1780628,5537134
179,36.6976936,137.1779713,5537134
