出発地のノード番号,到着側のノード番号,ウェイの距離[m]
17262,16852,329.48
16852,2863,6.43
1400,22427,37.97
22427,22424,55.62
22424,12409,8.48
12409,22421,6.64
22421,677,43.73
677,1401,125.8
1401,17262,28.86
17262,5921,1.31
5921,1402,85.27
1402,6866,140.19
6866,1403,10.81
1403,17851,47.04
17851,3256,5.98
3256,7124,160.44
7124,6865,6.89
6865,6873,10.83
6873,6877,9.99
6877,6874,4.22
6874,6875,12.94
6875,6876,16.66
6876,22335,10.29
22335,6878,36.89
6878,22332,4.11
22332,22334,2.79
22334,12410,5.33
12410,16857,44.57
16857,17853,63.71
17853,16853,38.65
16853,12411,74.69
12411,16852,3.27
16852,12412,108.87
12412,12413,103.22
12413,22434,12.06
22434,12414,28.84
12414,1404,17.18
1404,1400,165.21
10537,10536,1.65
10536,2014,101.11
2014,2013,98.5
2013,10538,28.11
10538,2002,177.08
2002,10535,45.83
10535,2007,4.4
2007,2011,3.8
2011,19671,3.21
19671,19674,75.01
19674,18440,17.88
18440,19681,93.95
19681,10532,4.81
10532,18429,29.31
18429,18417,32.62
18417,19682,139.51
19682,13675,45.19
13675,19684,4.32
19684,22333,4.59
22333,13662,4.44
13662,19685,22.85
19685,19687,116.36
19687,6879,5.71
6879,19688,5.06
19688,18394,36.74
18394,6880,38.8
6880,18393,24.42
18393,18391,141.08
18391,22436,44.8
22436,19689,6.21
19689,22437,7.21
22437,22440,32.1
22440,22441,49.05
22441,18406,73.1
18406,22445,14.2
22445,22443,17.44
22443,22446,13.16
22446,22450,13.34
22450,18435,5.17
18435,18437,57.24
18437,18441,89.45
18441,18444,33.36
18444,19736,41.24
19736,10537,10.75
19740,2881,128.33
2881,19741,95.5
19741,11322,128.29
11322,8167,22.1
8167,22442,15.81
22442,22438,13.21
22438,22447,13.79
22447,22444,17.12
22444,22449,14.05
22449,13952,8.12
13952,6372,75.3
6372,22468,104.7
22468,19734,41.2
19734,10541,6.19
10541,9503,2.82
9503,9505,49.21
9505,9506,128.19
9506,9507,119.29
9507,9504,41.26
19731,6377,6.52
6377,18452,104.21
18452,19732,55.11
19732,10219,18.37
10219,10217,16.35
10217,10218,11.76
10218,18449,10.4
18449,19733,49.57
19733,10182,4.92
10182,2006,5.2
2006,10204,4.46
10204,10203,132.12
10203,10202,5.61
10202,10201,5.66
10201,10200,71.92
10200,10199,7.93
10199,10198,6.58
10198,10197,16.78
10197,10196,4.77
10196,10195,6.03
10195,10185,154.4
10185,19694,41.76
3823,2851,31.8
2851,19749,28.02
19749,19750,48.65
19750,15554,9.08
15554,19740,95.8
4290,6867,8.63
6867,2877,41.97
2877,2876,124.51
2876,2875,71.95
2875,22418,41.24
22418,4291,6.24
4291,22422,10.42
22422,2878,48.86
2878,22429,60.4
22429,10363,10.11
10363,22430,9.49
22430,22433,21.97
22433,2880,17.64
2880,2016,14.02
2016,4292,16.92
4292,4293,116.32
4293,2025,7.17
2025,22435,7.41
22435,2883,40.96
2883,2884,143.28
2884,6868,94.07
6868,22330,3.65
22330,22331,3.67
22331,4294,4.07
4294,2882,39.73
2882,6872,8.27
6872,6869,14.05
6869,6870,16.73
6870,6871,15.9
6871,2879,90.28
2879,4290,137.45
4907,7174,21.26
7174,4908,7.99
4908,18493,33.74
18493,4909,62.94
4909,18494,66.42
18494,4910,31.47
4910,4912,51.31
4912,6407,35.7
6407,4913,6.5
4913,6402,6.25
6402,16861,54.95
16861,4914,133.21
4914,18471,14.03
18471,6383,39.28
6383,4915,6.73
4915,6381,7.11
6381,18461,44.12
18461,18460,102.6
18460,4916,139.36
4917,6376,5.28
6376,18456,60.78
18456,18457,73.11
18457,10216,56.95
10216,18458,49.07
18458,6379,41.99
6379,4918,7.57
4918,6378,7.07
6378,18454,33.44
18454,10224,100.02
10224,10223,10.36
10223,10222,18.29
10222,10221,13.78
10221,10220,8.15
10220,10225,5.99
10225,4919,4.5
4919,4920,71.63
4920,2005,5.18
2005,2008,3.98
2008,10226,4.61
10226,18447,37.5
18447,18448,111.29
18448,9857,136.86
4923,4922,156.55
4922,2001,3.32
2001,3088,124.22
3088,2009,5.92
2009,3083,6.19
3083,4921,4.48
4921,18443,46.27
18443,18438,81.32
18438,10533,62.71
10533,18412,99.04
18412,6861,147.31
6861,22328,4.72
22328,22329,3.6
22329,4924,4.6
4924,18395,44.73
18395,925,80.69
925,18392,111.31
18392,2022,40.59
2022,13978,1.76
13978,4926,12.39
4926,18397,66.44
18397,18273,54.87
18273,18272,12.2
4718,17854,5.41
17854,4717,6.82
4717,4716,58.71
4716,4715,43.29
4715,4714,54.2
4714,4713,80.4
4713,4712,89.46
4712,6220,13.2
6220,17198,62.93
17198,6221,57.76
6221,10211,69.84
10211,6222,105.75
6222,17845,52.04
17845,6223,15.51
6223,10209,43.54
10209,6224,6.88
6224,10207,9.06
10207,21895,62.02
21895,10205,20.43
10205,5206,18.9
6228,17419,101.61
17419,16864,78.42
16864,6229,66.36
6229,17425,109.95
17425,21885,2.82
21885,21893,6.33
21893,6230,1.01
6230,17426,79.19
17426,6233,5.78
6233,18507,280.86
18507,6235,11.79
6235,6237,59.6
6237,7311,40.57
7311,6238,5.72
6238,7309,4.69
7309,6250,44.05
6250,18497,28.05
18497,17843,58.55
17843,18501,37.3
18501,6249,93.59
6249,6248,62.6
6248,18503,35.01
18503,6247,36.0
6247,18505,14.66
18505,7312,58.65
7312,6246,7.11
6246,7313,6.18
7313,18506,48.71
18506,20809,50.88
20809,6245,37.14
6245,10212,53.8
10212,6244,4.47
6244,6243,149.22
6243,10210,63.24
10210,6242,1.84
6242,17850,6.39
17850,6225,4.56
6225,10208,3.32
10208,7624,78.11
7624,10206,4.61
10206,2895,2.92
2895,6227,9.06
19711,9798,6.8
9798,18470,40.91
18470,20802,54.33
20802,18469,33.98
18469,18468,81.22
18468,18467,28.87
18467,18466,72.01
18466,6240,117.83
6240,6382,30.88
6382,19728,7.32
19728,6384,9.09
6384,18472,36.66
18472,19727,89.31
19727,18490,18.19
18490,6403,95.04
6403,19726,12.03
19726,18495,39.42
18495,18496,99.68
18496,18498,78.86
18498,18499,51.32
18499,18502,88.62
18502,7310,109.46
7310,7304,10.03
